# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  4 14:25:57 2026
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
#
toi,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created
1018.01,4.9591200,0.0001600,-0.0001600,0,2.5090000,0.1300000,-0.1300000,0,22.9123000,3.2805500,-3.2805500,0,5889.0000000,124.3000000,-124.3000000,0,2.0000000,0.0900000,-0.0900000,0,2019-04-01 16:52:01
1019.01,5.2341008,0.0000012,-0.0000012,0,3.7078139,0.0125204,-0.0125204,0,24.2931408,0.7497171,-0.7497171,0,7645.0000000,134.4000000,-134.4000000,0,1.5620300,0.0481257,-0.0481257,0,2019-07-24 17:08:12
102.01,4.4119378,0.0000008,-0.0000008,0,3.6500000,0.0110000,-0.0110000,0,15.4706000,0.6919630,-0.6919630,0,6280.0000000,,,0,1.2100000,0.0500000,-0.0500000,0,2019-05-07 17:42:37
1020.01,3.2889200,0.0006600,-0.0006600,0,3.7930000,0.2020000,-0.2020000,0,,,,0,8734.2000000,283.6000000,-283.6000000,0,,,,0,2019-07-24 17:08:12
1021.01,1.9087900,0.0003500,-0.0003500,0,1.9090000,0.2310000,-0.2310000,0,3.3468800,0.2177490,-0.2177490,0,6022.6000000,133.5000000,-133.5000000,0,1.2200000,0.0500000,-0.0500000,0,2019-07-24 17:08:12
1022.01,3.0957400,0.0067700,-0.0067700,0,4.4750000,1.1960000,-1.1960000,0,3.4262000,0.7787130,-0.7787130,0,6084.0000000,111.0000000,-111.0000000,0,1.4100000,0.0500000,-0.0500000,0,2019-06-04 14:32:44
1023.01,1.3214483,0.0000231,-0.0000231,0,3.4350000,0.0710000,-0.0710000,0,21.8839000,4.0147500,-4.0147500,0,5050.8000000,86.8000000,-86.8000000,0,2.9900000,0.1500000,-0.1500000,0,2019-07-24 18:44:12
1024.01,18.0157000,0.0001500,-0.0001500,0,2.5240000,0.4030000,-0.4030000,0,21.6440000,,,0,4709.0000000,122.0000000,-122.0000000,0,7.6100000,,,0,2019-07-24 18:44:12
1025.01,9.6837908,0.0000013,-0.0000013,0,1.6988586,0.1234614,-0.1234614,0,25.3602704,0.4591244,-0.4591244,0,8598.7000000,1245.7000000,-1245.7000000,0,,,,0,2019-07-24 18:44:12
1026.01,14.2628757,0.0000385,-0.0000385,0,6.9350494,0.4663160,-0.4663160,0,2.4765813,0.1510812,-0.1510812,0,5690.0000000,129.0000000,-129.0000000,0,0.8538980,0.0413895,-0.0413895,0,2019-06-11 14:45:00
1027.01,3.2834565,0.0000046,-0.0000046,0,1.5370000,0.7090000,-0.7090000,0,2.8764800,0.3141770,-0.3141770,0,4272.0000000,122.7000000,-122.7000000,0,0.6800000,0.0600000,-0.0600000,0,2019-07-24 18:44:12
1027.02,11.0287500,0.0000354,-0.0000354,0,2.7150000,0.4040000,-0.4040000,0,2.7658600,0.2689270,-0.2689270,0,4272.0000000,122.7000000,-122.7000000,0,0.6800000,0.0600000,-0.0600000,0,2021-06-03 22:37:59
1027.03,5.0113292,0.0000120,-0.0000120,0,1.0240000,0.4710000,-0.4710000,0,2.5231400,0.3027980,-0.3027980,0,4272.0000000,122.7000000,-122.7000000,0,0.6800000,0.0600000,-0.0600000,0,2023-05-18 23:08:27
1028.01,1.0160600,0.0003400,-0.0003400,0,2.8430000,0.2780000,-0.2780000,0,1.2070400,0.0989898,-0.0989898,0,4634.0000000,120.9000000,-120.9000000,0,0.6800000,0.0500000,-0.0500000,0,2019-07-24 18:44:12
1029.01,36.2221400,0.0004600,-0.0004600,0,5.1070000,0.1880000,-0.1880000,0,,,,0,,,,0,,,,0,2019-06-11 14:45:03
103.01,3.5478540,0.0001490,-0.0001490,0,3.4943330,0.0492050,-0.0492050,0,14.5818410,0.1964350,-0.1964350,0,6351.0000000,,,0,1.4000000,,,0,2018-09-05 18:49:20
1030.01,12.1246519,0.0000103,-0.0000103,0,4.6120000,0.6670000,-0.6670000,0,17.6729000,2.5968800,-2.5968800,0,4807.6000000,60.0000000,-60.0000000,0,1.0700000,0.0300000,-0.0300000,0,2019-07-24 18:44:12
1031.01,5.6526230,0.0000254,-0.0000254,0,3.4340000,0.4750000,-0.4750000,0,8.9435400,1.1398800,-1.1398800,0,6415.4000000,103.2000000,-103.2000000,0,1.9200000,0.0800000,-0.0800000,0,2019-06-25 15:58:39
1032.01,5.6643704,0.0000109,-0.0000109,0,3.8087395,0.0887935,-0.0887935,0,14.7738943,0.7471176,-0.7471176,0,10395.0000000,320.6000000,-320.6000000,0,2.3383701,0.1093570,-0.1093570,0,2019-07-24 18:44:12
1033.01,29.0161646,0.0000476,-0.0000476,0,5.3450000,0.3140000,-0.3140000,0,6.8208109,0.1674868,-0.1674868,0,6113.1000000,,,0,2.0100000,,,0,2019-06-11 14:45:00
1034.01,3.6404389,0.0000082,-0.0000082,0,2.5339234,0.5744699,-0.5744699,0,3.7025342,0.1738907,-0.1738907,0,9810.0000000,173.7000000,-173.7000000,0,1.6077600,0.0427739,-0.0427739,0,2019-07-24 18:44:12
1035.01,6.0744477,0.0000059,-0.0000059,0,2.4954821,0.0518881,-0.0518881,0,30.9493217,11.6974440,-11.6974440,0,5964.0000000,128.4000000,-128.4000000,0,2.4303801,0.1515680,-0.1515680,0,2019-07-24 18:44:12
1036.01,3.7795212,0.0000040,-0.0000040,0,2.9520000,0.1580000,-0.1580000,0,5.9837500,0.3118970,-0.3118970,0,5771.0000000,132.3000000,-132.3000000,0,1.1800000,0.0600000,-0.0600000,0,2019-07-24 18:44:12
1037.01,1.2025238,0.0000067,-0.0000067,0,1.9910000,0.0520000,-0.0520000,0,6.3110600,1.9950400,-1.9950400,0,9158.0000000,171.4000000,-171.4000000,0,1.7400000,0.0500000,-0.0500000,0,2019-07-24 18:44:12
1038.01,3.2235985,0.0000138,-0.0000138,0,2.1590000,0.4520000,-0.4520000,0,5.5134100,,,0,8904.0000000,239.9000000,-239.9000000,0,2.1700000,,,0,2019-07-24 18:44:12
1039.01,4.4201250,0.0000085,-0.0000085,0,3.9560000,1.2590000,-1.2590000,0,,,,0,,,,0,,,,0,2019-07-24 18:44:12
104.01,4.0872956,0.0000023,-0.0000023,0,5.5861130,0.0508755,-0.0508755,0,13.6237732,0.6518233,-0.6518233,0,6036.0000000,,,0,2.2186699,0.1025730,-0.1025730,0,2018-09-05 18:49:20
1040.01,2.5555500,0.0004500,-0.0004500,0,1.5660000,0.3750000,-0.3750000,0,12.5272602,0.4216165,-0.4216165,0,10037.0000000,123.0000000,-123.0000000,0,6.0400000,,,0,2019-07-24 18:44:12
1041.01,8.3079200,0.0003700,-0.0003700,0,3.2280000,0.0890000,-0.0890000,0,43.1068000,4.4239900,-4.4239900,0,9081.0000000,173.2000000,-173.2000000,0,3.0500000,0.0900000,-0.0900000,0,2019-07-24 18:44:12
1042.01,0.7580820,0.0000073,-0.0000073,0,1.8184632,0.1306038,-0.1306038,0,10.1273702,0.6658212,-0.6658212,0,9917.0000000,199.6000000,-199.6000000,0,3.5086601,0.1201210,-0.1201210,0,2019-07-24 18:44:12
1043.01,1.4415577,0.0000074,-0.0000074,0,2.3490000,0.6820000,-0.6820000,0,3.6107800,0.2600400,-0.2600400,0,6902.0000000,135.7000000,-135.7000000,0,1.5200000,0.0600000,-0.0600000,0,2019-07-24 18:44:12
1044.01,1.0085089,0.0000009,-0.0000009,0,1.6420000,0.3430000,-0.3430000,0,,,,0,5215.2000000,1166.8000000,-1166.8000000,0,,,,0,2019-07-24 18:44:12
1045.01,3.7039994,0.0000037,-0.0000037,0,4.2770000,0.5990000,-0.5990000,0,17.5700000,0.7465730,-0.7465730,0,7013.8000000,299.6000000,-299.6000000,0,1.9000000,0.0800000,-0.0800000,0,2019-07-24 18:44:12
